Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
new suit google youtube,Chrome 123.0.0.0,,,28-03-2024 16:05:47,28-03-2024 16:05:55,8.428s,PASSED
,,,,,,,
Test Cases/test katalon againn/test katalon google youtube again,Chrome 123.0.0.0,,,28-03-2024 16:05:47,28-03-2024 16:05:55,8.070s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,28-03-2024 16:05:48,28-03-2024 16:05:51,2.742s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 123.0.0.0,,,28-03-2024 16:05:51,28-03-2024 16:05:53,2.628s,PASSED
"setText(findTestObject(""Object Repository/open youtube wiki using google chrome/Page_Google/textarea_Login_q""), ""youtube"")",Chrome 123.0.0.0,,,28-03-2024 16:05:53,28-03-2024 16:05:54,1.077s,PASSED
"click(findTestObject(""Object Repository/open youtube wiki using google chrome/Page_Google/span_YouTube""))",Chrome 123.0.0.0,,,28-03-2024 16:05:54,28-03-2024 16:05:55,0.818s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,28-03-2024 16:05:55,28-03-2024 16:05:55,0.408s,PASSED
